0	2.4653664 2.3504882 -1.9963307 -2.1498039 -2.195462 -2.210804 -2.4125957 -2.270904 -2.216953 -2.332748 -2.5800912 -2.330727 -2.3110123 -2.1542659 -2.2334042 -2.109383 -2.143695 -2.2533317 -2.0130668 -2.0948226 -2.0533905 -2.1932094 -2.277635 -2.1801853 -1.9002705 -2.1750908 -1.9477365 -1.9255137 -2.178353 -2.1993465 -2.1313028 -2.0470624 -2.113699 -2.1340764 -2.0663414 -2.2048874 -1.9857081 -2.1877384 -2.0207305 -2.1939864 -2.106632 -2.0743024 -2.2342732 -2.1396809 -2.251462 -2.1588888 -2.3296585 -2.1813023 -2.3165503 -2.1137352 -2.2748175 -2.2396536 -2.159759 -2.341504 -2.1416183 -2.0397115 -2.108378 -2.2800817 -2.251936 -2.1023288 -1.9973905 -2.1048408 -2.139651 -2.115883 -2.1814604 -2.61864 -1.99776 -2.2845883 -1.9301293 -2.0989542 -2.035419 -2.1360395 -2.3322687 -2.373341 -2.1824973 -2.1442442 -2.1890237 -2.2336912 -2.1960251 -2.2977333 -2.3415766 -2.2910097 -2.1799142 -1.9873247 -2.0798595 -2.0677261 -2.2329702 -2.3773937 -2.4212615 -2.178809 -2.2859628 -2.0737877 -2.0483098 -2.1824389 -2.2016478 -2.3027434 -2.4385166 -2.1568754 -2.2269602 -2.2512918 -2.0632806 -2.3860798 -2.204128 -2.1791158 -2.1237218 -2.460291 -2.3723135 -2.0849757 -2.3299518 -2.1482296 -2.0946763 -2.1778796 -2.1994333 -2.3409157 -2.2379622 -2.0986316 -2.1270328 -2.4478278 -2.4648 -1.9829798 -2.2754354 -2.0497692 -2.1084008 -1.9155852 -2.205999 -2.217966 -1.9850297 -2.2081265
1	2.5376644 2.845842 -2.0333138 -2.1574717 -2.3086429 -2.3288965 -2.3682384 -2.3224804 -2.0832262 -2.385405 -2.736662 -2.338094 -2.3686604 -2.2753003 -2.2136953 -2.3067427 -2.0276787 -2.3378038 -2.1220756 -2.1042001 -2.1668744 -2.3031435 -2.4083195 -2.2846887 -1.7660317 -2.195456 -1.9906883 -2.1339617 -2.1815946 -2.2592769 -2.195143 -2.169 -2.109921 -2.315011 -2.1994014 -2.444769 -2.028448 -2.3639956 -2.1752229 -2.292323 -2.1842449 -2.15764 -2.3126528 -2.3355494 -2.2394142 -2.2572906 -2.2923584 -2.1217957 -2.3028178 -2.0555055 -2.4064813 -2.163267 -2.2480726 -2.4394407 -2.1338272 -2.1381395 -2.0382667 -2.39259 -2.3028445 -2.1882682 -2.0129006 -2.1117814 -2.1864133 -2.2722445 -2.2807672 -2.5649137 -2.1155047 -2.275454 -2.0074387 -2.181993 -2.0806277 -2.2250803 -2.429937 -2.4054532 -2.2605674 -2.2495952 -2.182854 -2.2327454 -2.302087 -2.3402858 -2.2292929 -2.2841868 -2.2237601 -2.002792 -2.0604122 -2.1660109 -2.2595868 -2.3941965 -2.3933294 -2.0837674 -2.2833526 -2.170864 -2.1653473 -2.2146053 -2.3257942 -2.3142476 -2.3980029 -2.1417012 -2.3555224 -2.4233518 -2.2122955 -2.3803582 -2.2081246 -2.242639 -2.227387 -2.4070034 -2.422894 -2.2041726 -2.4696481 -2.245935 -2.1439404 -2.2966332 -2.230191 -2.36125 -2.1817322 -2.318233 -2.1258924 -2.3067489 -2.471455 -2.1266425 -2.342681 -2.2760842 -2.1910348 -2.1409104 -2.279251 -2.132691 -2.1257174 -2.360379
2	2.489354 2.718531 -1.965436 -2.0158253 -2.2851505 -2.2235386 -2.3380456 -2.191916 -2.0288684 -2.3043652 -2.6100082 -2.2494893 -2.2395883 -2.2376642 -2.1866088 -2.2518692 -1.9472367 -2.289368 -2.0653973 -2.0531619 -2.1226313 -2.2448778 -2.3333707 -2.149697 -1.7178817 -2.1556416 -1.9549863 -2.0187666 -2.1284037 -2.1950698 -2.187334 -2.156135 -2.0757694 -2.2525408 -2.170241 -2.3039517 -2.0103643 -2.3158689 -2.086307 -2.256532 -2.167935 -2.0802183 -2.2579126 -2.1635146 -2.1855476 -2.2543445 -2.2369137 -2.0121727 -2.2072814 -2.0030713 -2.3389494 -2.0777397 -2.165875 -2.3066163 -2.0488193 -2.0047584 -1.9625223 -2.348015 -2.2532508 -2.1256046 -1.9170936 -2.0794313 -2.1259289 -2.198998 -2.2279654 -2.4990578 -2.0741434 -2.162866 -1.9299843 -2.0926118 -2.0186112 -2.2006927 -2.4053264 -2.3410063 -2.1590762 -2.17574 -2.060944 -2.127046 -2.2009032 -2.2793164 -2.2003636 -2.2551224 -2.1906667 -1.9308658 -2.035069 -2.1096666 -2.2064633 -2.298831 -2.277174 -2.1016817 -2.2228246 -2.1663706 -2.040716 -2.2668304 -2.2570705 -2.2918456 -2.3359423 -2.0560694 -2.2431939 -2.3316565 -2.1261623 -2.2959256 -2.1681385 -2.1807995 -2.117096 -2.3988848 -2.3019583 -2.1276374 -2.399187 -2.216168 -2.051657 -2.2691653 -2.1848178 -2.2789931 -2.0821846 -2.1964612 -2.0643504 -2.2242913 -2.3771443 -2.0681257 -2.2315803 -2.253833 -2.1653001 -2.072469 -2.2245054 -2.1415267 -2.050214 -2.2757354
3	2.5382226 2.7599125 -1.9943565 -2.0737765 -2.2095432 -2.321474 -2.3114123 -2.23417 -2.0746658 -2.3425636 -2.6431353 -2.2951689 -2.3565123 -2.288981 -2.1690192 -2.2752151 -1.9724181 -2.2635531 -2.030458 -2.078854 -2.1451159 -2.277977 -2.3494813 -2.2209988 -1.7632086 -2.2095518 -1.9676452 -2.1249309 -2.1342325 -2.2318377 -2.1922846 -2.1345463 -2.0894814 -2.177752 -2.1821556 -2.385695 -2.0233495 -2.3511722 -2.127297 -2.2820816 -2.1372182 -2.1151881 -2.275106 -2.257402 -2.2357576 -2.2051697 -2.2719827 -2.0413063 -2.2818556 -2.0202336 -2.3517072 -2.1630492 -2.1743648 -2.4106126 -2.0840774 -2.0632038 -1.9685025 -2.3131118 -2.2347968 -2.130665 -1.9105682 -2.126077 -2.114922 -2.2402463 -2.2499855 -2.482902 -2.1042948 -2.2212846 -1.9590936 -2.1287408 -2.0713377 -2.184214 -2.4047875 -2.3461225 -2.221922 -2.1836154 -2.147668 -2.1655407 -2.219945 -2.2885447 -2.2176154 -2.2492414 -2.223264 -1.9606595 -2.0568514 -2.129521 -2.1928282 -2.33127 -2.307922 -2.0748024 -2.1725786 -2.1644602 -2.1723142 -2.24096 -2.2673974 -2.2849946 -2.3432355 -2.0581203 -2.2759109 -2.398368 -2.1281471 -2.3224955 -2.172153 -2.1582885 -2.2062373 -2.3604703 -2.3538826 -2.1508582 -2.4409156 -2.1986985 -2.1325037 -2.2523663 -2.1513119 -2.3089612 -2.1701832 -2.235766 -2.1080022 -2.2954938 -2.3836808 -2.0773768 -2.2694607 -2.2742054 -2.1639757 -2.1390347 -2.228072 -2.1277728 -2.0974755 -2.3099072
4	2.6135402 2.653657 -1.9470992 -2.0655608 -2.1946168 -2.2422576 -2.289197 -2.1925557 -2.0586972 -2.2697103 -2.6094856 -2.2382493 -2.301209 -2.1929183 -2.1896312 -2.245297 -1.9874043 -2.223291 -2.0680351 -1.9974388 -2.0753446 -2.228075 -2.2952588 -2.172324 -1.7475522 -2.1835818 -1.9091417 -2.0843556 -2.1035106 -2.2301295 -2.2075813 -2.114758 -2.000404 -2.248174 -2.1672695 -2.3585243 -1.9528477 -2.3367424 -2.1651175 -2.2426572 -2.1182466 -2.0179772 -2.247772 -2.2320764 -2.2047386 -2.1889927 -2.235583 -2.042364 -2.2242408 -1.9832363 -2.3907075 -2.049417 -2.1528878 -2.354828 -2.0658097 -2.087585 -1.9549115 -2.2991667 -2.1770787 -2.1468277 -1.9237556 -2.0505672 -2.126041 -2.2387505 -2.274528 -2.4412036 -2.0559163 -2.2084537 -1.979972 -2.089973 -2.0068123 -2.1533384 -2.400693 -2.3955073 -2.1965623 -2.1981914 -2.1267247 -2.1365948 -2.2432303 -2.2844572 -2.2307053 -2.241281 -2.1545138 -1.9319243 -1.9595804 -2.0711632 -2.218756 -2.327242 -2.3567567 -2.1284094 -2.1934667 -2.160839 -2.041255 -2.1852856 -2.2436075 -2.2459993 -2.3426013 -2.0241437 -2.2478073 -2.3199887 -2.1545775 -2.2916656 -2.162386 -2.169005 -2.1185198 -2.3601804 -2.2828062 -2.103848 -2.4246516 -2.1789498 -2.0908692 -2.2143557 -2.1671352 -2.2271965 -2.1222396 -2.1722007 -2.0784602 -2.24883 -2.3590126 -2.0761285 -2.260353 -2.1799157 -2.1698284 -2.087685 -2.249423 -2.062666 -2.0866938 -2.256371
5	2.580258 2.5914602 -1.9040574 -2.0551639 -2.1914554 -2.2583451 -2.3134928 -2.1986825 -2.0716507 -2.275879 -2.558927 -2.2052205 -2.2910604 -2.1982841 -2.1398666 -2.2303522 -1.9712076 -2.2390828 -2.0128815 -2.0226305 -2.09056 -2.1945312 -2.2828844 -2.1690612 -1.705106 -2.136774 -1.8401005 -2.0555978 -2.0847325 -2.193294 -2.0944743 -2.043933 -2.031825 -2.2668657 -2.0811706 -2.2819076 -1.9832866 -2.3114014 -2.0984998 -2.2562604 -2.1497145 -2.0466537 -2.1633945 -2.2665133 -2.218753 -2.2268538 -2.2272215 -2.0403194 -2.1658673 -1.9559236 -2.3373742 -2.0846572 -2.1614451 -2.3179803 -2.0329065 -2.0072315 -1.926954 -2.2387898 -2.2064028 -2.1425157 -1.9489672 -2.0557714 -2.066215 -2.1265645 -2.1912446 -2.4212897 -2.0614371 -2.2081542 -1.9543293 -2.053544 -1.9921639 -2.132493 -2.335421 -2.3217835 -2.1857722 -2.152665 -2.1000566 -2.1616263 -2.2100859 -2.257999 -2.191405 -2.2566843 -2.1808786 -1.8980765 -2.010733 -2.0929773 -2.1426005 -2.3045416 -2.2937722 -2.0215902 -2.206078 -2.1066432 -2.033605 -2.2183108 -2.2530172 -2.2977476 -2.320156 -2.0196683 -2.2782161 -2.2942238 -2.1257408 -2.2313719 -2.1136248 -2.1472445 -2.1186967 -2.2977705 -2.285877 -2.1378696 -2.3827138 -2.2146156 -2.0899625 -2.1768878 -2.1219277 -2.2563622 -2.1729171 -2.1469703 -2.0779886 -2.2434912 -2.3489814 -2.0518255 -2.2353263 -2.2068229 -2.1593714 -1.9928129 -2.255818 -2.0233297 -2.050366 -2.23754
6	2.1482878 1.9778275 -1.7370327 -1.92643 -1.9467825 -1.9158906 -1.9715728 -1.9819064 -1.9543507 -2.0013416 -2.123253 -2.0573437 -2.0682979 -1.9136565 -1.9098208 -1.7654719 -1.835644 -1.8807741 -1.7698123 -1.786454 -1.7282114 -2.0389683 -2.0221345 -1.8727052 -1.571919 -1.7738464 -1.6616186 -1.7170055 -1.8432306 -1.96348 -1.8637874 -1.7404287 -1.799154 -1.9492736 -1.7887433 -2.0335445 -1.7652736 -1.8466492 -1.7052231 -1.8669789 -1.8230169 -1.7973871 -1.8986849 -1.9372983 -1.9058292 -1.9261359 -1.9930754 -1.9456878 -2.044729 -1.7780849 -1.918184 -1.8241899 -1.9137866 -1.923624 -1.8292412 -1.7741017 -1.76793 -2.0377998 -1.9300001 -1.7949281 -1.7779534 -1.7810957 -1.8282349 -1.8592839 -1.9015285 -2.2254684 -1.8462003 -1.9326639 -1.578675 -1.7690996 -1.7606318 -1.911634 -1.9931604 -1.9637065 -1.9084055 -1.9318335 -1.8709096 -1.9849396 -1.8866765 -1.9920889 -1.968543 -1.9620827 -1.8888252 -1.6855059 -1.748107 -1.8784137 -1.8987644 -2.026322 -2.0547314 -1.9107316 -1.91534 -1.7470374 -1.7691709 -1.9035451 -1.881567 -2.0396419 -2.0622938 -1.8723333 -2.0305219 -2.0719533 -1.8608578 -1.9845096 -1.897826 -1.8282874 -1.7553473 -2.0902824 -2.0966763 -1.773076 -2.1535935 -1.8530335 -1.7421793 -1.9071891 -1.8420725 -2.0213122 -1.9566696 -1.7961454 -1.7512906 -2.0249224 -2.0997155 -1.7162473 -1.8776044 -1.9015031 -1.90008 -1.6625304 -2.0139384 -1.9087403 -1.7668926 -1.8594952
7	2.5235143 2.1733727 -1.5543678 -1.9328005 -1.998242 -1.9890481 -2.0510693 -1.7797111 -1.8431087 -1.8891838 -2.2377424 -1.8962383 -1.9529285 -1.8885309 -1.8793688 -1.8790237 -1.7479031 -1.853818 -1.8067155 -1.7672563 -1.614476 -2.1047359 -1.956749 -1.7859447 -1.447134 -1.8338978 -1.6190159 -1.8636646 -1.9081413 -1.927361 -1.8848459 -1.5986111 -1.7950861 -1.9739795 -1.890843 -1.9730123 -1.6283041 -1.9483033 -1.8807878 -1.8892956 -1.8596332 -1.9143219 -1.812783 -1.9147488 -1.9037855 -1.8990643 -1.9580939 -1.8416357 -1.9376378 -1.6591601 -2.0120015 -1.7306931 -1.9252762 -1.959894 -1.8206122 -1.7388531 -1.6963278 -1.9267929 -1.9328675 -1.8327837 -1.6815583 -1.8049272 -1.8071921 -1.8701044 -1.9587364 -2.1774209 -1.7389951 -1.8739679 -1.6994298 -1.7007732 -1.696852 -1.8327048 -1.9955142 -2.1613941 -2.023021 -1.8720524 -1.7026367 -1.745703 -1.9202693 -2.0432281 -1.8511758 -1.9756645 -1.8553092 -1.6356509 -1.6882834 -1.668492 -1.9203091 -1.9016595 -1.9464111 -1.6896548 -1.9725797 -1.8344806 -1.7869651 -1.8364649 -1.8952332 -1.8985338 -1.9165432 -1.7550714 -1.9469362 -1.971149 -1.7861487 -2.0473664 -1.7784538 -1.8068193 -1.8420234 -2.1150064 -1.9416358 -1.7323049 -1.9750359 -1.8214197 -1.8910328 -1.8626881 -1.8466691 -1.9747574 -1.8570476 -1.9622118 -1.7200575 -1.940228 -1.9953058 -1.6581223 -1.9441996 -1.8700974 -1.8303361 -1.7035029 -1.9221544 -1.8998165 -1.719316 -1.979487
8	2.4275243 2.234298 -1.6234376 -1.9503053 -1.9933102 -2.0380182 -2.0305843 -1.8268676 -1.9038928 -1.8738186 -2.2457242 -1.9714897 -2.005019 -1.8846022 -1.8664526 -1.8361304 -1.7530046 -1.9089669 -1.8201065 -1.7463596 -1.6434193 -2.1417077 -2.0310142 -1.7615197 -1.5341234 -1.8363936 -1.665025 -1.8211488 -1.9157883 -1.9890785 -1.8855631 -1.6723723 -1.8093312 -1.9857445 -1.8971124 -1.9754337 -1.6817534 -1.9273229 -1.8579323 -1.9138434 -1.8960423 -1.9124769 -1.7841457 -1.973725 -1.939248 -1.949931 -1.9769961 -1.8604636 -1.9888647 -1.7217667 -1.999742 -1.7521902 -1.8415127 -1.9716713 -1.8820748 -1.7549342 -1.7246783 -2.0088713 -1.9544094 -1.7885083 -1.7718904 -1.8374766 -1.798662 -1.8809141 -1.9730701 -2.200377 -1.7055638 -1.948175 -1.7230291 -1.7460952 -1.7260938 -1.7785218 -1.9736836 -2.152803 -2.0132546 -1.9193666 -1.7547803 -1.7594608 -1.900228 -2.0478 -1.8572243 -2.0046887 -1.8940737 -1.647054 -1.7279348 -1.7381833 -1.928052 -1.9892263 -2.0299206 -1.7439288 -1.9280815 -1.8776885 -1.8742497 -1.886805 -1.9312547 -1.9785292 -2.008908 -1.7587211 -1.9705137 -1.9788535 -1.8311979 -2.0818787 -1.8208911 -1.8419493 -1.8072557 -2.0829082 -1.9853162 -1.7447546 -2.0068655 -1.8165381 -1.8798199 -1.9041303 -1.8740935 -1.9503442 -1.9200044 -1.9387891 -1.7524517 -1.952904 -1.969655 -1.6643665 -2.0043936 -1.9507138 -1.9066771 -1.711907 -1.904204 -1.8799257 -1.7127995 -1.9684565
9	2.4897952 2.1864474 -1.6373004 -1.8943644 -2.0276456 -1.9641224 -2.058766 -1.7821128 -1.9188635 -1.8747814 -2.2543 -1.9891286 -1.9903898 -1.878639 -1.8911455 -1.8070109 -1.7872529 -1.8409977 -1.8004019 -1.768675 -1.6659486 -2.1203876 -1.93908 -1.8217865 -1.5110618 -1.890315 -1.5894821 -1.82992 -1.9301986 -1.9179232 -1.8625307 -1.6681958 -1.81934 -1.99545 -1.8863633 -1.9554316 -1.6145604 -1.9301844 -1.8882707 -1.9282873 -1.9073782 -1.9578087 -1.7645348 -1.9345676 -1.9482147 -1.9702054 -1.9315476 -1.8250906 -1.9520347 -1.7039683 -2.029141 -1.7963715 -1.9078826 -1.9403515 -1.8465211 -1.7391062 -1.7591465 -1.9876032 -1.9275005 -1.8154643 -1.8186831 -1.8123571 -1.8241782 -1.8850935 -2.021122 -2.2412462 -1.6909289 -1.9331529 -1.6858068 -1.6999075 -1.663456 -1.8343384 -1.9303387 -2.1695046 -1.9706035 -1.9517207 -1.7145832 -1.7875983 -1.9109621 -2.0440445 -1.8744373 -2.0213356 -1.9042766 -1.5594287 -1.7219108 -1.7344398 -1.9721644 -1.9879298 -2.0060833 -1.7686658 -1.8777459 -1.8517578 -1.8143687 -1.8786914 -1.9564806 -1.9568272 -2.0411685 -1.7624023 -1.9456747 -1.9515061 -1.8482199 -2.045727 -1.7915463 -1.7746894 -1.7957056 -2.1170573 -1.9436542 -1.7467412 -1.976979 -1.8160493 -1.8483621 -1.8720702 -1.8874799 -1.946971 -1.8808199 -1.9657652 -1.7561789 -1.9409423 -2.0089138 -1.6827692 -1.9757669 -1.9744203 -1.8395413 -1.702018 -1.8673372 -1.8636193 -1.7508507 -1.9713111
