Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0068646,2015-05-31,2015-05-31,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1601130,1972-03-14,Francis Ford Coppola
2,tt0111161,2015-05-31,2015-05-31,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2318636,1994-09-10,Frank Darabont
3,tt0047478,2015-05-31,2015-05-31,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.6,207,1954,"Action, Adventure, Drama",313046,1954-04-26,Akira Kurosawa
4,tt0317248,2015-05-31,2015-05-31,,Cidade de Deus,https://www.imdb.com/title/tt0317248/,movie,8.6,130,2002,"Crime, Drama",694312,2002-05-18,"K�tia Lund, Fernando Meirelles"
5,tt0071562,2015-05-31,2015-05-31,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1118312,1974-12-12,Francis Ford Coppola
6,tt0110912,2015-05-31,2015-05-31,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1808910,1994-05-21,Quentin Tarantino
7,tt0050083,2015-05-31,2015-05-31,,12 Angry Men,https://www.imdb.com/title/tt0050083/,movie,9.0,96,1957,"Crime, Drama",682252,1957-04-10,Sidney Lumet
8,tt0073486,2015-05-31,2015-05-31,,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,910068,1975-11-19,Milos Forman
9,tt0167260,2015-05-31,2015-05-31,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,8.9,201,2003,"Action, Adventure, Drama, Fantasy",1627656,2003-12-01,Peter Jackson
10,tt0108052,2015-05-31,2015-05-31,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1202492,1993-11-30,Steven Spielberg
11,tt0137523,2015-05-31,2015-05-31,,Fight Club,https://www.imdb.com/title/tt0137523/,movie,8.8,139,1999,Drama,1836734,1999-09-10,David Fincher
12,tt0114814,2015-05-31,2015-05-31,,The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.5,106,1995,"Crime, Mystery, Thriller",983029,1995-01-25,Bryan Singer
13,tt0099685,2015-05-31,2015-05-31,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",1009546,1990-09-09,Martin Scorsese
14,tt0064116,2015-05-31,2015-05-31,,C'era una volta il West,https://www.imdb.com/title/tt0064116/,movie,8.5,165,1968,Western,300230,1968-12-20,Sergio Leone
15,tt0043014,2015-05-31,2015-05-31,,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.4,110,1950,"Drama, Film-Noir",199745,1950-08-10,Billy Wilder
16,tt0057012,2015-05-31,2015-05-31,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,447060,1964-01-29,Stanley Kubrick
17,tt0022100,2015-05-31,2015-05-31,,M - Eine Stadt sucht einen M�rder,https://www.imdb.com/title/tt0022100/,movie,8.3,117,1931,"Crime, Mystery, Thriller",142125,1931-05-11,Fritz Lang
18,tt0060196,2015-05-31,2015-05-31,,"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,movie,8.8,161,1966,Western,682601,1966-12-23,Sergio Leone
